delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,400,unexp,0,0,0,1,33.011648000217974,33.85462980018929,33.85462980018929,34.02146070031449,space,0.3042761995457113,34.572310720290986,34.92319520004094,34.92319520004094,34.92319520004094,34.92319520004094,45,1,[2.5784627003595233],[2.578470000065863],431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,0,1,1,9,37.453563699964434,38.43901610001922,38.43901610001922,38.456505600363016,space,1.5268273996189237,40.08941362025216,,40.41900310013443,40.41900310013443,40.41900310013443,88,2,"[2.5784627003595233, 1.9747254997491837]","[2.578470000065863, 1.9747342998161912]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,0,2,2,10,42.370773900300264,43.35558219999075,43.35558219999075,43.37278169998899,space,0.5151785993948579,44.27199622029438,,44.570816500112414,44.570816500112414,44.570816500112414,35,3,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,0,3,3,7,46.23751900019124,47.22279050014913,47.22279050014913,47.23908590013161,space,1.036991199478507,48.6893633200787,,49.00455160019919,49.00455160019919,49.00455160019919,11,4,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,400,unexp,0,4,4,0,50.40406600013375,51.40422490006313,51.40422490006313,51.40422490006313,space,0.22966739954426885,51.753819619957355,,52.05449100024998,52.05449100024998,52.05449100024998,77,5,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,0,5,5,4,53.77119340002537,54.75584090035409,54.75584090035409,54.77329279994592,space,0.30196409951895475,55.47307652020827,,55.776114400010556,55.776114400010556,55.776114400010556,56,6,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,0,6,6,6,56.689688000362366,57.68793010013178,57.68793010013178,57.704748400021344,space,0.4520435994490981,58.25655902009457,,58.576597000006586,58.576597000006586,58.576597000006586,874,7,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,0,7,7,8,60.40469600027427,61.38798899995163,61.38798899995163,61.404675600118935,space,1.5367842996492982,63.656507620308545,,63.97571730008349,63.97571730008349,63.97571730008349,31,8,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,0,8,8,11,65.30445190006867,66.30493050022051,66.30493050022051,66.30493050022051,space,0.5046133995056152,67.53763002036139,67.8404423003085,67.8404423003085,67.8404423003085,67.8404423003085,78,9,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,400,unexp,0,9,9,2,69.12109860032797,70.1211073002778,70.1211073002778,70.1211073002778,space,0.47457379940897226,71.32198312012478,,71.62712660012767,71.62712660012767,71.62712660012767,456,10,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,0,10,10,3,73.9048181003891,74.90490390034392,74.90490390034392,74.90490390034392,space,0.9673094996251166,75.98898952007293,,76.29275850020349,76.29275850020349,76.29275850020349,10,11,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,0,11,11,5,77.73822530033067,78.72290470032021,78.72290470032021,78.73999510006979,space,0.32923399936407804,79.75710762031376,,80.07295760000125,80.07295760000125,80.07295760000125,951,12,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,1,0,12,10,81.57181270001456,82.57229189993814,82.57229189993814,82.57229189993814,space,0.6065484997816384,83.60691472021863,,83.9244624003768,83.9244624003768,83.9244624003768,561,13,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,1,1,13,8,85.44075910001993,86.44018130004406,86.44018130004406,86.44018130004406,space,0.34739919984713197,87.50590292010456,87.82186040002853,87.82186040002853,87.82186040002853,87.82186040002853,113,14,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,1,2,14,6,89.62179400026798,90.60673260036856,90.60673260036856,90.62318400014192,space,0.8004294000566006,91.5390640201047,,91.84125250019133,91.84125250019133,91.84125250019133,843,15,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,400,unexp,1,3,15,2,94.62153310002759,95.6230966001749,95.6230966001749,95.6230966001749,space,0.31531009962782264,96.6565089199692,,96.95603629993275,96.95603629993275,96.95603629993275,026,16,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,400,unexp,1,4,16,0,98.75554689997807,99.74049710016698,99.74049710016698,99.75709260022268,space,0.5817474997602403,100.44069042028859,100.75666780024767,100.75666780024767,100.75666780024767,100.75666780024767,351,17,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,1,5,17,11,102.68895300012082,103.68878680001944,103.68878680001944,103.68878680001944,space,1.4322346998378634,105.83856432018801,106.13881090003997,106.13881090003997,106.13881090003997,106.13881090003997,371,18,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,1,6,18,7,112.45572230033576,113.44194350019097,113.44194350019097,113.45967150013894,space,0.6735187997110188,114.52449492011219,,114.84489460010082,114.84489460010082,114.84489460010082,213,19,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,1,7,19,3,116.98920850036666,117.97604220034555,117.97604220034555,117.9940936001949,space,0.6233138996176422,118.72199472011998,,119.0426666000858,119.0426666000858,119.0426666000858,053,20,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,1,8,20,5,121.38931730017066,122.39117540000007,122.39117540000007,122.39117540000007,space,1.3354863999411464,124.44162542019039,,124.74318800028414,124.74318800028414,124.74318800028414,94,21,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,1,9,21,9,128.17286480031908,129.15663890028372,129.15663890028372,129.1726741003804,space,0.581645299680531,129.85853742035107,,130.16394879994914,130.16394879994914,130.16394879994914,30,22,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138, 2.930376600008458]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715, 2.9303840999491513]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,1000,exp,1,10,22,4,133.0900145000778,134.07365070004016,134.07365070004016,134.09049080032855,space,0.9308388996869326,135.42373052025215,135.74620870035142,135.74620870035142,135.74620870035142,135.74620870035142,498,23,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138, 2.930376600008458, 3.661416399758309]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715, 2.9303840999491513, 3.6614234000444412]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.4,400,unexp,1,11,23,1,139.38998869992793,140.3901317003183,140.3901317003183,140.3901317003183,space,2.0268410998396575,142.84140682006256,,143.15899959998205,143.15899959998205,143.15899959998205,14,24,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138, 2.930376600008458, 3.661416399758309, 2.3404001998715103]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715, 2.9303840999491513, 3.6614234000444412, 2.3404350001364946]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.7,1000,exp,2,0,24,8,145.49035050021484,146.47689280007035,146.47689280007035,146.49182090023533,space,1.0970492996275425,148.29175882013516,,148.59704590030015,148.59704590030015,148.59704590030015,38,25,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138, 2.930376600008458, 3.661416399758309, 2.3404001998715103, 2.613333700224757]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715, 2.9303840999491513, 3.6614234000444412, 2.3404350001364946, 2.613343100063503]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
0.1,1000,exp,2,1,25,9,151.20660950010642,152.19187400024384,152.19187400024384,152.20877650007606,space,0.8459648992866278,153.15753621999175,,153.4738472001627,153.4738472001627,153.4738472001627,094,26,"[2.5784627003595233, 1.9747254997491837, 1.6657448001205921, 1.398560100235045, 1.715775900054723, 0.919919699896127, 1.8401504000648856, 1.3428099998272955, 1.281333599705249, 2.2801421997137368, 1.4480629996396601, 1.498726099729538, 1.527417200151831, 1.8122852998785675, 2.7830648999661207, 1.7982993996702135, 1.9450487000867724, 6.315618200227618, 2.1476153996773064, 2.364063199609518, 3.431335300207138, 2.930376600008458, 3.661416399758309, 2.3404001998715103, 2.613333700224757, 2.551168399862945]","[2.578470000065863, 1.9747342998161912, 1.6657530004158616, 1.3985688001848757, 1.715784799773246, 0.9199316999875009, 1.8401681003160775, 1.3428163002245128, 1.2813420998863876, 2.2801496000029147, 1.4480713000521064, 1.4987355000339448, 1.5274348999373615, 1.8122922000475228, 2.783074200153351, 1.7983086998574436, 1.9450564002618194, 6.315624400041997, 2.1476245000958443, 2.3640749999321997, 3.4313411000184715, 2.9303840999491513, 3.6614234000444412, 2.3404350001364946, 2.613343100063503, 2.5511847999878228]",431296,001,2022-11-10_09h59.35.602,Intentional Binding Task,2022.2.2,60.0634869878296,
